+------+----------------+---------------+
| Ball |    Top Left    | Bottom Right  |
+------+----------------+---------------+
|   1  | (0.01, 0.01)   | (0.24, 0.24)  |
|   2  | (0.26, 0.01)   | (0.49, 0.24)  |
|   3  | (0.51, 0.01)   | (0.74, 0.24)  |
|   4  | (0.76, 0.01)   | (0.99, 0.24)  |
|   5  | (0.01, 0.26)   | (0.24, 0.49)  |
|   6  | (0.26, 0.26)   | (0.49, 0.49)  |
|   7  | (0.51, 0.26)   | (0.74, 0.49)  |
|   8  | (0.76, 0.26)   | (0.99, 0.49)  |
|   9  | (0.01, 0.511)  | (0.24, 0.741) |
|  10  | (0.26, 0.511)  | (0.49, 0.741) |
|  11  | (0.51, 0.511)  | (0.74, 0.741) |
|  12  | (0.76, 0.511)  | (0.99, 0.741) |
|  13  | (0.01, 0.7625) | (0.24, 0.99)  |
|  14  | (0.26, 0.7625) | (0.49, 0.99)  |
|  15  | (0.51, 0.7625) | (0.74, 0.99)  |
|   W  | (0.76, 0.7625) | (0.99, 0.99)  |
+------+----------------+---------------+
